"year","month","country","value"

•	Belgium
2024,8,"BELGIUM",1247
2024,7,"BELGIUM",1088
2024,6,"BELGIUM",2505
2024,5,"BELGIUM",1261
2024,4,"BELGIUM",1276
2024,3,"BELGIUM",3121
2024,2,"BELGIUM",2272
2024,1,"BELGIUM",1826
•	Czechia
2024,8,"CZECHIA",155
2024,7,"CZECHIA",245
2024,6,"CZECHIA",953
2024,5,"CZECHIA",252
2024,4,"CZECHIA",180
2024,3,"CZECHIA",121
2024,2,"CZECHIA",88
2024,1,"CZECHIA",116
•	Denmark
2024,8,DENMARK,813
2024,7,DENMARK,706
2024,6,DENMARK,3337
2024,5,DENMARK,1066
2024,4,DENMARK,549
2024,3,DENMARK,1724
2024,2,DENMARK,1071
2024,1,DENMARK,763
•	Germany
2023,1,GERMANY,4241
2023,2,GERMANY,7710
2023,3,GERMANY,8703
2023,4,GERMANY,2420
2023,5,GERMANY,5265
2023,6,GERMANY,8043
2023,7,GERMANY,3904
2023,8,GERMANY,6903
2023,9,GERMANY,4216
2023,10,GERMANY,3353
2023,11,GERMANY,4923
2023,12,GERMANY,4001
2024,1,GERMANY,3152
2024,2,GERMANY,6038
2024,3,GERMANY,3878
2024,4,GERMANY,1637
2024,5,GERMANY,1896
2024,6,GERMANY,4648
2024,7,GERMANY,2470
2024,8,GERMANY,2370
•	Greece
2024,7,GREECE,132
2024,6,GREECE,236
2024,5,GREECE,97
2024,4,GREECE,175
2024,3,GREECE,184
2024,2,GREECE,262
2024,1,GREECE,57
•	Spain
2024,8,SPAIN,549
2024,7,SPAIN,554
2024,6,SPAIN,1639
2024,5,SPAIN,1112
2024,4,SPAIN,893
2024,3,SPAIN,1458
2024,2,SPAIN,1023
2024,1,SPAIN,1094
•	France
2024,8,FRANCE,2523
2024,7,FRANCE,1780
2024,6,FRANCE,4053
2024,5,FRANCE,2197
2024,4,FRANCE,2128
2024,3,FRANCE,4998
2024,2,FRANCE,3244
2024,1,FRANCE,3118
•	Croatia
2024,6,CROATIA,196
2024,5,CROATIA,140
•	Hungary
2024,8,HUNGARY,40
2024,5,HUNGARY,159
•	Ireland
2024,8,IRELAND,366
2024,7,IRELAND,203
2024,6,IRELAND,515
2024,5,IRELAND,237
2024,3,IRELAND,422
2024,2,IRELAND,347
2024,1,IRELAND,66
•	Iceland
2024,3,ICELAND,51
2024,2,ICELAND,24
•	Italy
2024,8,ITALY,435
2024,7,ITALY,474
2024,6,ITALY,4993
2024,5,ITALY,1073
2024,4,ITALY,345
2024,3,ITALY,1465
2024,2,ITALY,1851
2024,1,ITALY,404
•	Luxembourg
2024,8,LUXEMBOURG,103
2024,7,LUXEMBOURG,78
2024,6,LUXEMBOURG,252
2024,5,LUXEMBOURG,132
2024,4,LUXEMBOURG,132
2024,3,LUXEMBOURG,273
2024,2,LUXEMBOURG,127
2024,1,LUXEMBOURG,122
•	Netherlands
2024,8,NETHERLANDS,1547
2024,7,NETHERLANDS,1180
2024,6,NETHERLANDS,3471
2024,5,NETHERLANDS,1660
2024,4,NETHERLANDS,1462
2024,3,NETHERLANDS,3957
2024,2,NETHERLANDS,1287
2024,1,NETHERLANDS,1610
•	Norway
2024,8,NORWAY,2485
2024,7,NORWAY,457
2024,6,NORWAY,3672
2024,5,NORWAY,832
2024,4,NORWAY,873
2024,3,NORWAY,2234
2024,2,NORWAY,1778
2024,1,NORWAY,1109
•	Austria
2024,8,AUSTRIA,398
2024,7,AUSTRIA,245
2024,6,AUSTRIA,1049
2024,5,AUSTRIA,499
2024,4,AUSTRIA,387
2024,3,AUSTRIA,1239
2024,2,AUSTRIA,875
2024,1,AUSTRIA,392
•	Poland
2024,8,POLAND,172
2024,7,POLAND,179
2024,6,POLAND,838
2024,5,POLAND,367
2024,4,POLAND,249
2024,3,POLAND,631
2024,2,POLAND,432
2024,1,POLAND,201
•	Portugal
2024,8,PORTUGAL,156
2024,7,PORTUGAL,549
2024,6,PORTUGAL,1175
2024,5,PORTUGAL,841
2024,4,PORTUGAL,369
2024,3,PORTUGAL,1184
2024,2,PORTUGAL,1155
2024,1,PORTUGAL,478
•	Romania
2024,8,ROMANIA,218
2024,7,ROMANIA,222
2024,5,ROMANIA,140
2024,4,ROMANIA,205
2024,3,ROMANIA,161
2024,2,ROMANIA,295
2024,1,ROMANIA,564
•	Slovenia
2024,6,SLOVENIA,117
2024,5,SLOVENIA,94
2024,4,SLOVENIA,54
•	Switzerland
2024,8,"SWITZERLAND",629
2024,7,"SWITZERLAND",368
2024,6,"SWITZERLAND",962
2024,5,"SWITZERLAND",521
2024,4,"SWITZERLAND",438
2024,3,"SWITZERLAND",1930
2024,2,"SWITZERLAND",1003
2024,1,"SWITZERLAND",327
•	Sweden
2024,8,"SWEDEN",1348
2024,7,"SWEDEN",1146
2024,6,"SWEDEN",2745
2024,5,"SWEDEN",1086
2024,4,"SWEDEN",1052
2024,3,"SWEDEN",2524
2024,2,"SWEDEN",1058
2024,1,"SWEDEN",730
•	Finland
2024,8,"FINLAND",312
2024,7,"FINLAND",59
2024,6,"FINLAND",479
2024,5,"FINLAND",304
2024,4,"FINLAND",128
2024,3,"FINLAND",487
2024,2,"FINLAND",238
2024,1,"FINLAND",169
•	Turkey
2024,8,TURKEY,1050
2024,7,TURKEY,420
2024,6,TURKEY,2670
2024,3,TURKEY,80
2024,2,TURKEY,75
2024,1,TURKEY,220
•	United Kingdom
2024,8,"UNITED_KINGDOM",3013
2024,7,"UNITED_KINGDOM",2462
2024,6,"UNITED_KINGDOM",6757
2024,5,"UNITED_KINGDOM",3152
2024,4,"UNITED_KINGDOM",1352
2024,3,"UNITED_KINGDOM",6995
2024,2,"UNITED_KINGDOM",3192
2024,1,"UNITED_KINGDOM",1581
•	Other Europe
    •	Bulgaria
2024,5,"BULGARIA",134
2024,4,"BULGARIA",31
2024,3,"BULGARIA",89
2024,2,"BULGARIA",47
2024,1,"BULGARIA",27
    •	Estonia
2024,1,"ESTONIA",19
